numero_de_publication;date_de_publication;type_de_publication;type_de_demande;numero_de_depot;date_de_depot;priorite_s;cib;cpc;titre
FR3088659;2020-05-22;A1;Demande française;FR1912924;2019-11-20;BE2018/5812 (20181121);E04F  10/10,E06B   7/086;E04F  10/10;Protection solaire
FR3091879;2020-07-24;A1;Demande française;FR1900451;2019-01-18;FR1900451 (20190118);C12P   5/02,C02F  11/04,C08L  33/02,C08L  33/26;C02F  11/04,C08L  33/02,C08L  33/26,C12P   5/023,Y02E  50/30;Nouvel agent permettant d’accélérer la dégradation des déchets d’origine organique
FR3092826;2020-08-21;A1;Demande française;FR1901533;2019-02-14;FR1901533 (20190214);B65B  11/28,B65B   7/16,B65B  11/58;B65B  11/025,B65B  11/585;PROCEDE DE BANDEROLAGE ET BANDEROLEUSE
FR3083352;2020-01-03;A1;Demande française;FR1855947;2018-06-29;FR1855947 (20180629);G06K   9/00,B60W  30/00,G06T   7/593;G06K   9/00798,G06T2207/30252,G06T   7/246,G01C  21/3602,G06K   9/00791,G06K   9/6202,G06T2207/10016,G06T2207/30252,G06T   7/55,G06T   7/73,G06T   7/97;PROCEDE ET DISPOSITIF DE DETECTION RAPIDE DE STRUCTURES REPETITIVES DANS L'IMAGE D'UNE SCENE ROUTIERE
FR3083510;2020-01-10;A1;Demande française;FR1856197;2018-07-05;FR1856197 (20180705);B62D  21/02,B62D  25/20;B62D  21/152,B62D  25/087,B62D  25/2027;RENFORCEMENT DES LONGERONNETS PAR ENGAGEMENT DE DOUBLURES
FR3083956;2020-01-17;A1;Demande française;FR1856460;2018-07-13;FR1856460 (20180713);H05K   7/02;H05K   7/1412,H05K   7/1454;CARTE ELECTRONIQUE, BOITIER ELECTRONIQUE COMPRENANT UNE TELLE CARTE ET PROCEDE DE MONTAGE CORRESPONDANT
FR3084006;2020-01-24;A1;Demande française;FR1908135;2019-07-18;CN201810789129.3 (20180718);B29C  33/42,B32B   3/30,B60R  13/08;B23C   3/00,B23Q   3/062,B23Q   3/08,B23Q2703/04,B23Q2703/10,B60K  37/00,B60K  37/00,B60R  21/2165,B29C  33/42;PLAQUE D’AFFAIBLISSEMENT ET INSTALLATION POUR AFFAIBLISSEMENT PAR FORMAGE D’UN TABLEAU DE BORD POUR COUSSIN GONFLABLE, ET UN TABLEAU DE BORD POUR COUSSIN GONFLABLE FABRIQUE PAR L’INSTALLATION.
FR3084071;2020-01-24;A3;Certificat d'utilité;FR1906740;2019-06-21;AU2018100998 (20180717);B65G   7/04;B62B   3/002,B62B   3/02,B62B   3/025,B62B   3/002,B62B   3/02,B62B   3/025;Conteneur roulant et ensemble de conteneurs roulants
FR3084086;2020-01-24;A1;Demande française;FR1902934;2019-03-21;FR1856801 (20180723);C12N   7/04,A61K  39/145,A61K  39/155,A61P  11/00,C07K  14/005,C12N  15/86;A61K  39/12,A61K2039/543,A61P  31/14,C07K  14/005,C12N   7/00,C12N2760/18334,C12N2760/18521,C12N2760/18522,C12N2760/18534,A61K  39/12,A61K2039/543,A61P  31/14,C07K  14/005,C12N   7/00,C12N2760/18334,C12N2760/18521,C12N2760/18522,C12N2760/18534,A61K  39/12,A61K2039/543,A61P  31/14,C07K  14/005,C12N   7/00,C12N2760/18322,C12N2760/18334,C12N2760/18361,C12N2760/18522,C12N2760/18534,C12N2760/18561;Nouvelle souche virale atténuée et son utilisation en tant que vaccin
FR3084345;2020-01-31;A1;Demande française;FR1856903;2018-07-25;FR1856903 (20180725);B65D  81/30,B65D   5/56,B65D  25/14;B65D   5/563,B65D  65/20,B65D  81/30;EMBALLAGE POUR LA PROTECTION DE BIEN DE CONSOMMATION DES RAYONNEMENTS ELECTROMAGNETIQUE ARTIFICIELS, UTILISATION ET FABRICATION DUDIT EMBALLAGE
FR3084406;2020-01-31;A1;Demande française;FR1857114;2018-07-30;FR1857114 (20180730);F02C   7/045,F28F   3/02;B64D2033/0206,F02C   7/045,F02C   7/14,F05D2260/963,Y02T  50/60;PANNEAU D'ECHANGE THERMIQUE ET DE REDUCTION DE BRUIT
FR3084434;2020-01-31;A1;Demande française;FR1870865;2018-07-25;FR1870865 (20180725);F16L   3/16,F02M  35/10,F16L   3/12;F16L   3/12,F02M  35/10144,F16B   5/0664,F16L   3/1075,F16L   3/1233,F16L   3/1236,F16L   3/18,F16L   3/20,F16L   3/137;SUPPORT DE FIXATION AJUSTABLE POUR LE MONTAGE D'UN ARTICLE TUBULAIRE SUR UN ORGANE EXTERNE
FR3084497;2020-01-31;A1;Demande française;FR1856925;2018-07-25;FR1856925 (20180725);G06F  21/57,G06F   8/65,G06F   9/44,G06F  21/64;G06F  21/57;PROCEDE ET DISPOSITIF DE GENERATION D'INSTRUCTIONS DESTINEES A UN DISPOSITIF POUR METTRE A JOUR SUR PLACE UN FICHIER DE DONNEES
FR3084699;2020-02-07;A1;Demande française;FR1857152;2018-07-31;FR1857152 (20180731);F02C   7/14,F28D   1/04,F28F   9/22;F01D  25/02,F01D  25/12,F02C   7/14,F02K   3/115,F28D   1/0471,F28D   7/005,F28F   1/022,F28F   1/26,F28F   9/0246,F28F   9/026,F28F   9/0268,F28F   9/028,F28F   9/0282,F28F2220/00,Y02T  50/60;ECHANGEUR THERMIQUE POUR TURBOMACHINE ET PROCEDE DE FABRICATION ASSOCIE
FR3085722;2020-03-13;A1;Demande française;FR1858049;2018-09-07;FR1858049 (20180907);F02D  41/30,F02M  37/00;F02D  19/084,F02D  19/087,F02D  41/0025,F02D2200/0611,Y02T  10/30;PROCEDE DE DISTRIBUTION DE CARBURANT
FR3086122;2020-03-20;A1;Demande française;FR1858470;2018-09-19;FR1858470 (20180919);H02K   1/28,H02K  17/16;H02K   1/22,H02K   1/28,H02K  17/16,H02K   1/28,H02K   3/44,H02K   5/12,H02K  15/0012,H02K  17/16,H02K  17/165,H02K   1/30,H02K  17/165;ROTOR POUR MACHINE ELECTRIQUE ASYNCHRONE A ARBRE NON TRAVERSANT
FR3086663;2020-04-03;A1;Demande française;FR1859090;2018-10-02;FR1859090 (20181002);C08G  63/78,C08G  63/183,C08G  63/672,C08L  67/02;C08G  63/183,C08G  63/672,C08G  63/78,C08G  63/80,C08G  63/916;PROCEDE DE PREPARATION D'UN POLYESTER DE TYPE POLY(1,4:3,6-DIANHYDROHEXITOL-COCYCLOHEXYLENE TEREPHTALATE)
FR3083328;2020-01-03;A1;Demande française;FR1855900;2018-06-28;FR1855900 (20180628);G01V   3/11;G01R  33/0017,G01R  33/0023,G01R  33/0094,G01R  33/02,G01V   3/081,G01V   3/104,G01V   3/165;SYSTEME DE DETECTION PORTABLE COMPRENANT DES CAPTEURS MAGNETOSTATIQUES
FR3084070;2020-01-24;A1;Demande française;FR1856765;2018-07-20;FR1856765 (20180720);B65G  17/00;B65G  39/12,B65G  15/00,B65G  15/60,B65G  69/20;PROCEDE ET DISPOSITIF DE MAINTENANCE D'UN CONVOYEUR A BANDE , ENSEMBLE CORRESPONDANT
FR3087021;2020-04-10;A1;Demande française;FR1859199;2018-10-04;FR1859199 (20181004);G06F  16/00;G06F  16/2358,G06F  16/273,G06F   9/44505,G06F  16/27,H04L  67/1095;LIENS DE REPLICATION DE BASE DE DONNEES DEFINIS PAR LOGICIEL
FR3088744;2020-05-22;A1;Demande française;FR1871551;2018-11-15;FR1871551 (20181115);G06Q  10/06,G01V   3/08;G08B   5/221;DISPOSITIF DE DETECTION DE LA PRESENCE DE PERSONNES A DES POSTES DE TRAVAIL DANS UNE BIBLIOTHEQUE
FR3093720;2020-09-18;A1;Demande française;FR1902628;2019-03-14;FR1902628 (20190314);C03C  23/00,C03C  17/32;C03C  17/3417,C03C  17/42,C03C2218/328,C03C2218/355,G02F   1/1533,G02F2001/1536;Procédé de protection d’un substrat en verre revêtu d’un empilement électrochrome et procédé de fabrication d’un vitrage isolant
FR3094999;2020-10-16;A1;Demande française;FR1903829;2019-04-10;FR1903829 (20190410);E05F  15/643;E05Y2201/22,E05Y2201/654,E05Y2201/658,E05Y2600/502,E05F  15/643;Dispositif d’entraînement motorisé, fenêtre coulissante pour un bâtiment et installation domotique associées
FR3095828;2020-11-13;A1;Demande française;FR1904759;2019-05-07;FR1904759 (20190507);E06B   7/02,E06B   5/20;E06B   7/10;DISPOSITIF DE VENTILATION INTÉGRÉ
FR3096846;2020-12-04;A1;Demande française;FR1905552;2019-05-27;FR1905552 (20190527);H02M   3/24,H02J   1/00,H02M   1/32;H02J   3/36,H02M   3/158,H02M   7/4833,H02M   7/4835,Y02E  60/60;Dispositif de connexion pour réseaux HVDC
FR3097651;2020-12-25;A1;Demande française;FR1906656;2019-06-20;FR1906656 (20190620);G01S  13/93,G01C  21/20,G01S   7/04;G01S   7/22,G01S   7/24,G01S  13/865,G01S  13/867,G01S  13/933,G01S  13/937;Procédé de surveillance de l’environnement d’un véhicule
FR3083297;2020-01-03;A1;Demande française;FR1855892;2018-06-28;FR1855892 (20180628);F24D  17/00,F24H   1/18;F24D  17/02,F24D  19/1054,F24D2200/123,F24H   4/04,F25B  45/00,F25B2313/004,F25B2339/047,F25B2345/001,F25B2345/003;INSTALLATION DE PRODUCTION D'EAU CHAUDE SANITAIRE ET PROCEDE DE PILOTAGE DE CELLE-CI
FR3083973;2020-01-24;A1;Demande française;FR1856778;2018-07-23;FR1856778 (20180723);A47J  37/07;A47J  37/0786,A47C  31/10;HOUSSE POP UP
FR3085359;2020-03-06;A1;Demande française;FR1857870;2018-08-31;FR1857870 (20180831);B64G   1/64;B64G   1/641,B64G   1/645,B64G2001/643,F42B  15/38,B64D   1/02,B64G   1/641,B64G   1/645,B64G2001/643,F16B   5/08;DISPOSITIF DE LIAISON LOCALISEE A SEPARATION COMMANDEE COMPRENANT UNE COUCHE DE LIAISON MULTIDIRECTIONNELLE
FR3093586;2020-09-11;A1;Demande française;FR1902319;2019-03-07;FR1902319 (20190307);H01B   7/36,F21S   4/26,H01F  38/00;F21W2111/00,F21W2131/1005,F21W2131/101,F21S   4/26,H01B   7/041,H01B   7/361,H01F   3/06,H02J  50/10,H02J  50/001;CÂBLE DE PUISSANCE AUTO-ÉCLAIRÉ À BAS COURANT ET GARDANT SA SOUPLESSE ET PROCÉDÉ DE FABRICATION ASSOCIÉ
FR3095375;2020-10-30;A1;Demande française;FR1904294;2019-04-24;FR1904294 (20190424);B60H   3/02,F24F   6/14;B60H   3/022,B60H2001/006;Système de nébulisation pour véhicule automobile
FR3095509;2020-10-30;A1;Demande française;FR1904335;2019-04-25;FR1904335 (20190425);G01C  21/34;G01C  21/3461,G01C  21/3484;Procédé de sélection d’un itinéraire optimisé et système correspondant
FR3095925;2020-11-20;A1;Demande française;FR1905048;2019-05-15;FR1905048 (20190515);A41G   5/00;A41G   5/0073;Dispositif de queue de cheval postiche.
FR3096038;2020-11-20;A1;Demande française;FR1905004;2019-05-14;FR1905004 (20190514);B65D  81/02,B65D  25/26,B65D  25/34;B65D  19/18,B65D  81/02,B65D2519/00034,B65D2519/00069,B65D2519/00079,B65D2519/00174,B65D2519/00208,B65D2519/00273,B65D2519/00288,B65D2519/00323,B65D2519/00333,B65D2519/00497,B65D2519/00562,B65D2519/00621,B65D2519/00666,B65D2519/00711,B65D2519/00825,B65D2519/0086;CONTENEUR REUTILISABLE RENFORCE
FR3096054;2020-11-20;A1;Demande française;FR2004887;2020-05-16;CN201910411726.7 (20190516);C12N  15/29,C12N  15/64,C12N  15/82,C12N  15/87;C07K  14/415,C12N  15/827,C07K  14/415,C12N  15/827;Application du gène GhCAL-D07 pour promouvoir la floraison de plantes
FR3096231;2020-11-27;A1;Demande française;FR1905429;2019-05-23;FR1905429 (20190523);A01K  61/60,A01K  61/65,E02B  15/06,E02B  15/08;A01K  73/12,A01K  75/04,A01K  61/60,E02B  15/0814,Y02A  40/81;Filet flottant
FR3096331;2020-11-27;A1;Demande française;FR1905531;2019-05-24;FR1905531 (20190524);B61F   5/52,B61F   7/00;B61F   5/52,B61F   7/00,B61H  13/36,F16D  49/16;TRAVERSE PIVOT POUR BOGIE REVERSIBLE IBERIQUE / UIC AVEC DISPOSITIF DE FREINAGE INTEGRE
FR3096377;2020-11-27;A1;Demande française;FR1905488;2019-05-24;FR1905488 (20190524);E02D  29/14;E02D  29/1481,E05C  17/166;DISPOSITIF DE VOIRIE A SECURITE AMELIOREE
FR3096388;2020-11-27;A1;Demande française;FR1905370;2019-05-22;FR1905370 (20190522);E05B  77/04,B60J   5/04,E05B  77/02;E05B  77/04;Porte de véhicule comprenant un moyen de blocage de son ouverture en cas de choc.
FR3096500;2020-11-27;A1;Demande française;FR1905383;2019-05-22;FR1905383 (20190522);G08B  17/10;G08B   5/40,G08B   7/06,G08B   7/064,G08B  13/00;« Dispositif de signalisation de position d'alarme, système d'alarme et procédé correspondant  »
FR3096520;2020-11-27;A1;Demande française;FR1905267;2019-05-20;FR1905267 (20190520);H02J   7/00,B60L  53/00,B60L  58/00;B60L  53/63,B60L  53/67,H02J   7/0013,H02J   7/00036,Y02E  60/00,Y02T  10/70,Y02T  10/7072,Y02T  90/12,Y02T  90/14,Y04S  10/126;SYSTEME ET PROCEDE DE GESTION DE CHARGE DES BATTERIES POUR UN PARC DE VEHICULES
FR3097040;2020-12-11;A1;Demande française;FR2004650;2020-05-12;DE10 2019 003 957.2 (20190604);F28F  17/00,B64D  11/04;B64D  11/04,B60H   1/32331,F24F  13/222,F24F2013/225,F25D  21/14,F28C   3/08,F28F  17/005,F24F   1/037,F24F   1/039,B64D  11/04,B64D  13/08,B64D2013/0629,B64D2013/0662,F25B  39/02,F25D  21/14;Dispositif de réfrigération et utilisation dudit dispositif pour réfrigérer une installation dans un véhicule
FR3089042;2020-05-29;A1;Demande française;FR1871739;2018-11-23;FR1871739 (20181123);G06Q  20/34,G06F  21/77,G06K  19/07,G07F   7/10;G06Q  20/341,G06Q  20/3552,G06Q  20/3558;Procédé de personnalisation d’un dispositif électronique avec suivi de l’interruption d’une étape de personnalisation
FR3091057;2020-06-26;A1;Demande française;FR1873388;2018-12-19;FR1873388 (20181219);H02J   7/00;H02M   1/36;Dispositif de pré-charge et convertisseur de tension comportant un tel dispositif.
FR3091473;2020-07-10;A1;Demande française;FR1900030;2019-01-03;FR1900030 (20190103);A45D  24/24;A45D  19/02,A45D  24/24,A45D  24/26,A45D  19/0041,A45D  19/022;Applicateur pour l’application de produit capillaire, et procédé d’application associé
FR3093723;2020-09-18;A1;Demande française;FR1902698;2019-03-15;FR1902698 (20190315);C07D 265/14,C08G  73/02,C08G  73/06;C07D 265/16,C07D 407/06,C08G  73/0233;Procédé de fabrication d’un monomère polybenzoxazine
FR3094022;2020-09-25;A1;Demande française;FR1903009;2019-03-22;FR1903009 (20190322);E04D  13/10;E04D  13/10,E06C   1/345,E06C   7/082;Fixation de lisse d’arrêt de neige ou d’échelons sur une couverture à joints debout
FR3094987;2020-10-16;A1;Demande française;FR1911739;2019-10-21;FR1903807 (20190409);C12M   1/12,C12Q   1/04,C12Q   1/22;B01D  63/087,B01D  69/10,B01D2313/21,B01L   3/5635,B01L2200/0668,B01L2300/0681,B01L2300/0803,B01L2300/0851,G01N   1/4077,G01N2001/4088;Dispositif de détermination d’une contamination bactériologique dans un fluide
FR3095265;2020-10-23;A1;Demande française;FR1904053;2019-04-16;FR1904053 (20190416);F28F   9/02,F28F   3/12,H01M  10/613,H01M  10/625;F28D   1/035,F28F   9/0253,F28F  13/12,H01M2220/20,H01M  10/613,H01M  10/625,H01M  10/6556,H01M  10/6568,H01M  10/6569,Y02E  60/10;Dispositif de régulation thermique, notamment de refroidissement pour véhicule automobile
FR3090280;2020-06-26;A1;Demande française;FR1873750;2018-12-21;FR1873750 (20181221);A23L  19/00,A23C  11/00,A23L  33/135;A23C  11/106,A23L  19/00,A23L  11/50;Procédé de préparation d’un produit végétal fermenté
FR3083919;2020-01-17;A1;Demande française;FR1856507;2018-07-13;FR1856507 (20180713);H01L  23/00,H01L  29/10;G09C   1/00,H01L  21/823892,H01L  23/576,H01L  23/58,H01L  27/092,H01L  27/0928,H04L   9/004,H01L  23/576;PUCE ELECTRONIQUE PROTEGEE
FR3083940;2020-01-17;A1;Demande française;FR1856510;2018-07-13;FR1856510 (20180713);H04B   1/403,B64D  31/14,H04L  29/06;H04B   1/38,H04B   3/54,H04B   3/56,H04B2203/5416,H04B2203/5483,H04B   3/542,H04B   3/56,H04L  27/0002;DISPOSITIF D'EMISSION ET DE TRANSMISSION DE DONNEES ET DISPOSITIF DE TRANSMISSION ET DE RECEPTION DE DONNEES
FR3086576;2020-04-03;A1;Demande française;FR1871109;2018-09-30;FR1871109 (20180930);b44d   5/00;B05D   7/02,B05D2350/65,B44D   5/00,C25D   5/12,G02C   5/008;PROCEDE DE DECORATION SUR PLASTIQUE METALLISE
FR3087461;2020-04-24;A1;Demande française;FR1859678;2018-10-19;FR1859678 (20181019);E04D  13/04;E04D  13/0409,E04D2013/0413,E04D2013/0427;DISPOSITIF DE DRAINAGE POUR UNE CONSTRUCTION, EN PARTICULIER UN TOIT D'UN BATIMENT OU UNE TERRASSE
FR3087951;2020-05-01;A1;Demande française;FR1859931;2018-10-26;FR1859931 (20181026);H01M   8/04,H01M   8/2428;C25B   1/04,C25B  15/02,C25B   9/73,C25B   9/77,H01M   8/04067,H01M   8/04708,H01M   8/248,H01M2008/1293,H01M   8/2428,Y02E  60/36,Y02E  60/50;PROCEDE DE REGULATION THERMIQUE D'UN SYSTEME ELECTROCHIMIQUE A OXYDES SOLIDES A MOYENS DE CHAUFFAGE INTEGRES
FR3093181;2020-08-28;A1;Demande française;FR1901907;2019-02-25;FR1901907 (20190225);G01L   3/10,B62D   1/16;B62D   6/10,B62D  15/0215,B62D  15/0245,G01D   5/145,G01L   3/104,G01L   5/221,G01D2205/40;Capteur de position, notamment destiné à la détection de la torsion d'une colonne de direction.
FR3097494;2020-12-25;A1;Demande française;FR1906746;2019-06-21;FR1906746 (20190621);B60R  19/00,B62D  25/18;B60R  21/34,B62D  25/16;AILE DE VEHICULE AVEC ZONE FUSIBLE POUR DEFORMATION PROGRAMMEE
FR3083200;2020-01-03;A1;Demande française;FR1855891;2018-06-28;FR1855891 (20180628);B62D  35/00;B62D  35/007,B62D  37/02,Y02T  10/82,B62D  35/00,B62D  37/02;DISPOSITIF DE GUIDAGE D'AIR POUR UN VEHICULE AUTOMOBILE, COMPORTANT UNE PARTIE FIXE ET UNE PARTIE MOBILE
FR3092923;2020-08-21;A1;Demande française;FR1901648;2019-02-19;FR1901648 (20190219);G06F  21/60;G06F  21/44,G06F  21/64,H04L   9/0869,H04L   9/3239,H04L  63/123,G06F  21/64,H04L   9/0643,H04L   9/3239;Méthode cryptographique de vérification des données
FR3095062;2020-10-16;A1;Demande française;FR1903921;2019-04-12;FR1903921 (20190412);G06K  19/07,G06K   9/20;A61B   5/053,A61B   5/1172,A61B   5/6826,A61B   5/6898,A61B2503/12,G06K   9/00006,G06K  19/0718,G06K  19/07354,G06K  19/0718;Carte à puce comportant un capteur d’empreintes digitales
FR3095754;2020-11-13;A1;Demande française;FR1904890;2019-05-10;FR1904890 (20190510);A61K  36/37,A61K  31/56,A61P  17/00;A61K  31/192,A61K  31/56,A61K  36/37,A61P  17/00;Triterpènes pentacycliques dans le traitement du vitiligo
FR3096095;2020-11-20;A1;Demande française;FR1905163;2019-05-16;FR1905163 (20190516);F04B  53/10,F04B  15/00;B05B   9/0413,F04B  15/02,F04B  53/1007,F04B  53/101,F04B  53/1012,F04B  53/1097,F04B  53/22,F16K  15/04;Pompe pour un système d’application de produit de revêtement et utilisation d’une telle pompe
FR3096180;2020-11-20;A1;Demande française;FR1905091;2019-05-15;FR1905091 (20190515);H01M  10/613,F25B  39/04,H01M  10/625;H01M2220/20,H01M  10/613,H01M  10/625,H01M  10/6556,H01M  10/6569,H01M  50/204,H01M  50/209,H01M  50/249,H01M  50/271,Y02E  60/10;« Dispositif de refroidissement d’un système de stockage électrique et procédé mettant en œuvre le dispositif de refroidissement »
FR3083409;2020-01-03;A1;Demande française;FR1855829;2018-06-28;FR1855829 (20180628);H04L  12/725,H04W  28/08,H04W  84/12;H04W  36/30,H04W  84/12,H04W  36/00837,H04W  36/0085;PROCEDE DE GESTION D'UNE CONNEXION DANS UN RESEAU SANS FIL DISTRIBUE
FR3086388;2020-03-27;A1;Demande française;FR1858705;2018-09-25;FR1858705 (20180925);G01F   1/00;G01D   5/48,G01D  11/245,G01F   1/662,G01F  15/14,B06B   1/0622,G01F   1/662,G01F   1/667,G01F  15/006,G01F  15/14,G01F  15/18,G01F  15/185,G01D  11/245,G01F   1/662,G01F  15/006,G01F  15/14,G01F  15/18;MOYEN DE MESURE DE FLUIDE PRESENTANT UN BOITIER DE FLUIDE, ET PROCEDE DE FABRICATION DE BOITIER DE FLUIDE
FR3087369;2020-04-24;A1;Demande française;FR1859694;2018-10-19;FR1859694 (20181019);B23K  35/26,C22C  12/00;B23K  35/26,B23K  35/264,C22C  12/00;ALLIAGE DE BRASURE ET UTILISATION D'UN TEL ALLIAGE
FR3090970;2020-06-26;A1;Demande française;FR1873286;2018-12-19;FR1873286 (20181219);G07C   5/00,G05B  23/00,G06K   9/46;G07C   5/008,G07C   5/0866;Procédé et système de collecte et de traitement d’images ou de vidéos comme données de vol d’un aéronef
FR3091676;2020-07-17;A1;Demande française;FR1900308;2019-01-14;FR1900308 (20190114);B60L  53/51,B60L  53/62,H02J   7/35,H02S  40/38;B60L  53/51,B60L  53/53,B60L  53/57,H02J   7/35,H02J2310/48,Y02E  10/50,Y02E  70/30,Y02T  10/70,Y02T  10/7072,Y02T  90/12;Module autonome pour recharger un véhicule électrique et son procédé de fonctionnement
FR3091858;2020-07-24;A1;Demande française;FR1900553;2019-01-22;FR1900553 (20190122);B65F   1/08,B65D  21/028,B65F   1/16;B65F   1/0066,B65F2220/128;Appareil de stockage temporaire
FR3083148;2020-01-03;A1;Demande française;FR1856014;2018-06-29;FR1856014 (20180629);B07B  13/04,B09B   3/00,B09B   5/00;B02C  19/0056,B02C  23/16,B03B   9/062,Y02W  30/52,Y02W  30/60;DISPOSITIF DE FRAGMENTATION ET DE TRI, ADAPTE POUR FRAGMENTER LE VERRE D'UNE FENETRE USAGEE
FR3083180;2020-01-03;A1;Demande française;FR1855976;2018-06-29;FR1855976 (20180629);B60Q   1/04,F21V  29/60;F21S  45/33;PROCEDE DE COMMANDE D'UN EXTRACTEUR D'AIR DE PROJECTEUR POUR UN VEHICULE AUTOMOBILE.
FR3083195;2020-01-03;A1;Demande française;FR1800682;2018-06-29;FR1800682 (20180629);B60W  50/14,B60W  40/02,G02B  27/01;B60K  35/00,B60K2370/1529,B60K2370/177,B60K2370/178,B60K2370/179,B60R   1/00,B60R2300/308,B60W  30/08,B60W  50/14;DISPOSITIF D'AFFICHAGE POUR L'AIDE A LA CONDUITE
FR3083386;2020-01-03;A1;Demande française;FR1855848;2018-06-28;FR1855848 (20180628);H02K  49/02,H02K   7/20;H02K   7/20,H02K   9/193,H02K  49/043,H02K  21/16,H02K  49/043,H02K   7/20,H02K  49/04;ENSEMBLE RALENTISSEUR ELECTROMAGNETIQUE ET GENERATRICE ET VEHICULE COMPORTANT UN TEL ENSEMBLE
FR3083403;2020-01-03;A1;Demande française;FR1856031;2018-06-29;FR1856031 (20180629);H02P   6/20,H02K  11/30,H02P   1/00,H02P   6/16;H02P   6/182,H02P   6/20;MOTEUR ELECTRIQUE A COURANT CONTINU SANS BALAI ET PROCEDE DE COMMANDE ASSOCIE
FR3084085;2020-01-24;A1;Demande française;FR1856722;2018-07-19;FR1856722 (20180719);C12N   1/14,A01N  63/38,A01P   3/00,C12R   1/885;A01N  63/38,C12N   1/14,C12N   1/145,C12R2001/885;METHODE DE BIOCONTROLE DE LA FUSARIOSE DES CEREALES
FR3084413;2020-01-31;A1;Demande française;FR1857017;2018-07-27;FR1857017 (20180727);F04F   5/44;F04F   5/22;EJECTEUR BI-ETAGE
FR3084544;2020-01-31;A1;Demande française;FR1857036;2018-07-27;FR1857036 (20180727);H02S  50/10;H02S  50/15,Y02E  10/50;CARACTERISATION OPTIQUE D'UN COEFFICIENT DE BIFACIALITE DE MODULE PHOTOVOLTAIQUE BIFACIAL
FR3087169;2020-04-17;A1;Demande française;FR1859503;2018-10-12;FR1859503 (20181012);b60q   1/26;B60Q   1/2615,B60Q2400/10,F21S  43/14,F21S  43/145,F21S  43/195,F21S  43/237,F21S  43/245,F21S  43/27,G02B   6/0006;ENSEMBLE POUR VEHICULE AUTOMOBILE COMPRENANT UN TISSU ECLAIRANT
FR3087432;2020-04-24;A1;Demande française;FR1859684;2018-10-19;FR1859684 (20181019);C01B  32/182,B29C  70/88,B29K 307/04;H01B   1/04;METHODE DE FABRICATION D'UN COMPOSITE CONDUCTEUR COMPRENANT AU MOINS UNE COUCHE SUPERFICIELLE COMPRENANT DU GRAPHENE MULTI-FEUILLETS
FR3083564;2020-01-10;A1;Demande française;FR1856203;2018-07-05;FR1856203 (20180705);F01D  11/14;F01D  11/001,F01D  11/025,F01D  11/122,F01D  25/246,F05D2230/644,F05D2240/11;TURBINE COMPORTANT UN ELEMENT ABRADABLE A POSITION RADIALE AJUSTABLE
FR3084844;2020-02-14;A1;Demande française;FR1855795;2018-06-27;FR1855795 (20180627);B29C  48/375,B29C  48/18,B29D  30/06;B29B   7/7466,B29B   7/7495,B29C  48/19,B29C  48/21,B29C  48/2562,B29C  48/266,B29C  48/304,B29C  48/35,B29C  48/49;INSTALLATION D'EXTRUSION POUR BANDE DE PROFILES EN MELANGES ELASTOMERIQUES
FR3094389;2020-10-02;A1;Demande française;FR1903325;2019-03-29;FR1903325 (20190329);E05B  49/00,G07C   9/00,G08B  17/02,H04L   9/18;G07C   9/00309,G07C   9/00571,G07C2009/00412,G07C2009/00865;Dispositif d’ouverture et de fermeture de porte avec contrôle d’accès, système intégrant un tel dispositif, et procédé correspondant
FR3094482;2020-10-02;A1;Demande française;FR1903137;2019-03-26;FR1903137 (20190326);G01K   1/08,G01D  11/24,G01K   7/02,G01K  13/00;G01K   7/023,G01K   7/12,G01K2205/04,H01R  13/405,H01R  13/665;Boitier de protection pour capteur de température de véhicule
FR3090235;2020-06-19;A1;Demande française;FR1872904;2018-12-14;FR1872904 (20181214);H02K   3/12,H02K   1/26;H02K   3/12,H02K   3/28,H02K  13/04,H02K  23/30,H02K  23/32;Moteur électrique, pour démarreur, comprenant un rotor à épingles et un collecteur
FR3093330;2020-09-04;A1;Demande française;FR2002423;2020-03-11;FR2002423 (20200311);B65G  47/91,B25J   9/00,B25J  15/06;B25J  13/087,B25J  15/0616,B65G  47/917,G05B  19/4065,G05B2219/49136;PROCEDE DE CONTROLE D’UNE VENTOUSE DE PREHENSION D'UN ROBOT, ET ROBOT CORRESPONDANT
FR3087052;2020-04-10;A1;Demande française;FR1859171;2018-10-03;FR1859171 (20181003);H02B   1/44;H02B   1/44;COFFRET ELECTRIQUE
FR3087916;2020-05-01;A1;Demande française;FR1860069;2018-10-31;FR1860069 (20181031);G06F   9/30;G06F   9/455;PROCEDE DE TRAITEMENT D'UN CODE SOURCE, DISPOSITIF, SYSTEME ET PROGRAMME CORRESPONDANT
FR3092992;2020-08-28;A1;Demande française;FR1901773;2019-02-21;FR1901773 (20190221);A61K  31/496,A61P  25/00,A61P  25/14;A61K  31/496,A61P  25/00,A61P  25/14;INHIBITEUR D’ACYL-THIOESTÉRASES POUR LE TRAITEMENT ET/OU LA PRÉVENTION DE LA MALADIE DE HUNTINGTON
FR3097006;2020-12-11;A1;Demande française;FR1905924;2019-06-04;FR1905924 (20190604);E06B   9/17;E06B   9/17015,E06B   9/1703,E06B2009/17069;Structure de menuiserie du type bloc-baie
